Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Teachmint,2020.0,Bengaluru,EdTech,Teachmint is an all-in-one education technology platform created specifically for the tutors of the digital age.,"Mihir Gupta, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Learn Capital,20000000.0,Series D,2021-01-01
Vahak,2017.0,Bengaluru,Transport,Building India's Largest & Most Trusted Online Transport Marketplace & Directory,"Vikas Chandrawat, Karan Shaha",RTP Global,5000000.0,Series D,2021-01-01
goSTOPS,2014.0,New Delhi,Hospitality,goSTOPS aims to be India’s biggest and most loved backpacker hostel brand.,"Pallavi Agarwal, Pankaj Parwanda","IAN, Yuj Ventures",1000000.0,Series E,2021-01-01
Codedamn,2020.0,New Delhi,Computer software,Codedamn enables anyone to learn and practice real-world programming skills and become industry relevant through our learning paths.,Mehul Mohan,Antler India,4000000.0,Seed Funding,2021-01-01
Biocraft Innovation Technology,2019.0,Noida,Environmental service,Innovation startup developing bamboo resources of India to be used in industrial use by developing injection moulding granules,"Vibha Mittal, Anubhav Mittal",JITO Angel Network,4000000.0,Series A,2021-01-01
Powerplay,2020.0,Bengaluru,Construction,Powerplay helps simplify end to end Construction and Architecture project management.,"Shubham Goyal, Lesh Dixit","Sequoia’s Surge, Accel Partners",5200000.0,Pre-Seed,2021-01-01
Accio Robotics,2020.0,Bengaluru,Industrial Automation,Accio Robotics is involved in the designing and manufacturing of state-of-the-art Robotics Automation solutions.,"Tuhin Sharma, Pranav Srinivasan",Uday Sodhi,4000000.0,Series B,2021-01-01
Delhivery,2011.0,Gurugram,Transport,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.","Bhavesh Manglani, Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Fidelity, GIC",270000000.0,Series H,2021-01-01
Avishkaar,2014.0,New Delhi,EdTech,India's leading Ed-Tech startup spearheading the Maker Revolution in the sub-continent,"Rajeev Gaba, Tarun Bhalla",Auxano,600000.0,Series I,2021-01-01
Jobsgaar,2020.0,New Delhi,Job discovery platform,India's first District level/ Hyper Local Job discovery platform,Atul Pratap Singh,SucSEED Indovation Fund,140000.0,Seed,2021-01-01
Almo,2020.0,Gurugram,D2C Fashion,Almo is a Premium Men's essentianls wear brand focused on bringing sophisticated yet functional designs to wardrobe.,Abhishek Shah,Angelist India,4000000.0,Seed,2021-01-01
Breathe Well-being,2015.0,New Delhi,HealthCare,Breathe Wellbeing is an interactive and personalized platform that helps organization increase employee engagement and productivity.,"Aditya Kaicker, Rohan Verma","Stanford Angels and Entrepreneurs India, Anjali Bansal",1000000.0,Series E,2021-01-01
GalaxEye,2020.0,Chennai,SpaceTech,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,Prabhkiran Singh,Speciale Invest,4000000.0,Series F,2021-01-01
Good Health Clinic,2021.0,Hyderabad,HealthCare,Full Stack Digital Health Clinic,Samarth Sindhi,Khosla Ventures,5000000.0,Series A+,2021-01-01
Urban Company,2014.0,New Delhi,Home services,Urban Company is an India-based company providing a marketplace for freelance labor.,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan","Vy Capital, Wellington Management",250000000.0,Series F,2021-01-01
MYBYK,2014.0,Ahmadabad,Rental,MYBYK is an app that provides premium bicycle sharing and rental service.,Arjit Soni,Avon Cycles,1000000.0,Seed Round,2021-01-01
Locus,2015.0,Bengaluru,Transport,Locus is an intelligent decision-making and automation platform for logistics.,"Geet Garg, Nishith Rastogi","Blume Ventures, Exfinity Venture Partners",50000000.0,Series C,2021-01-01
Crejo.Fun,2020.0,Bengaluru,EdTech,Crejo.Fun is a digital extracurricular learning platform being built with an intent to help children discover their passions and interests through creative learning.,Vikas Bansal,"Matrix Partners India, 021 Capital",3000000.0,Seed,2021-01-01
Bambinos,2020.0,Bengaluru,EdTech,Cohort based extracurricular course for kids,"Ashish Gupta, Ankit Hetamsaria","HNIs, Angels",500000.0,Seed,2021-01-01
KreditBee,2018.0,Bengaluru,Finance,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Karthikeyan Krishnaswamy, Madhusudan Ekambaram, Wan Hong","NewQuest Capital Partners, Motilal Oswal Private Equity",8000000.0,Private Equity,2021-01-01
Spardha,2016.0,Pune,EdTech,"Spardha School Of Music, Spardha Academy, Spardha Online are associated marks with Spardha Learnings Private Limited.","Saurabh Srivastav, Amrita Srivastav",Inflection Point Ventures,400000.0,Fresh Funding,2021-01-01
Onelife Nutriscience,2019.0,Mumbai,HealthCare,Onelife Nutriscience is a consumer healthcare brands company.,Gaurav Aggarwal,Lasons India,4000000.0,Series H,2021-01-01
Flatheads,2019.0,Bengaluru,Fashion,Flatheads is a lifestyle brand that designs and creates shoes from India for the world. Flatheads launched India's first bamboo footwear.,Utham Gowda,"Pankaj Chaddah, Srivatsan Rajan",4000000.0,Series I,2021-01-01
Fable Fintech,2015.0,Mumbai,Finance,"Fable Fintech is being seed-funded by the CCAvenue Group, South East Asia’s number 1 eCommerce service provider",Naushad Contractor,Paytm,4000000.0,Series A,2021-01-01
Holisol,2009.0,New Delhi,Transport,HoliSol Logistics Is a Supply Chain Operations Company!,"Manish Ahuja, Naveen Rawat, Rahul Dogar","BlackSoil, CLSA Capital Partners",3000000.0,Series D1,2021-01-01
Now&Me,2018.0,New Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Bani Singh, Drishti Gupta","Saama, Whiteboard Capital",1000000.0,Series A+,2021-01-01
Fyllo,2019.0,Bengaluru,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Sudhanshu Rai, Sumit Sheoran","Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021-01-01
Cora Health,2020.0,Bengaluru,HealthCare,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,"Shrijit Venkatesh, Snigdha Kumar",Alteria Capital,4000000.0,Series A,2021-01-01
Blaer Motors,2014.0,Chennai,Mobility,Meant to augment human power and not completely replace it,Abinesh Ekambaram,The Chennai Angels,300000.0,Series H,2021-01-01
Swiflearn,2019.0,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Sai Srinivas Kiran G, Shubham Malhotra","Venture Highway, Stellaris Venture Partners",3000000.0,Private Equity,2021-01-01
Cashfree,2015.0,Bengaluru,Finance,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","State Bank of India, Y Combinator",4000000.0,Seed Funding,2021-01-01
QuickSell,2017.0,Mumbai,E-commerce,B2B Mobile Commerce Platform,Deepak Bhagchandani,"Sanjay Baldwa, Ajay Jain",2000000.0,Series I,2021-01-01
Truemeds,2019.0,Mumbai,Heathcare,Truemeds is a health-tech startup.,"Akshat Nayyar, Kunal Wani",InfoEdge,5000000.0,Series A,2021-01-01
Candes,2015.0,New Delhi,E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Sandeep Aggarwal, Vipin Aggarwal","Nitin Passi, Ruchirans Jaipuria",3000000.0,Series D1,2021-01-01
MediBuddy,2000.0,Bengaluru,Heathcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.",Ritesh Agarwal,"Stride Ventures, InnoVen Capital",3000000.0,Series C,2021-01-01
F5,2018.0,New Delhi,Food & Beverages,F5 is a foods and beverages company.,"Lalit Aggarwal, Raghav Arora","Venture Catalysts, Jeevak Gupta",300000.0,Series G,2021-01-01
Capital Float,2013.0,Bengaluru,Finance,Capital Float is an online platform that provides working capital finance to SMEs in India.,"Gaurav Hinduja, Sashank Rishyasringa","Triodos Investment Management, SAIF Partners",6000000.0,Series F,2021-01-01
IntelleWings,2019.0,Panchkula,IT startup,"IntelleWings develops Sanctions & Anti-money laundering solutions with a clear, concise, and fresh perspective.",Pramod Sharma,Titan Capital,100000.0,Seed,2021-01-01
Shyplite,2016.0,New Delhi,Transport,Enable E-retailers to automate their logistics and increase efficiency in shipments by providing a single window shipping platform,"Nisschal Jain,  Sugam Jain, Parinay Itkan",N+1 Capital,1000000.0,Pre-Seed,2021-01-01
Refyne,2020.0,Bengaluru,Finance,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to employees.,"Chitresh Sharma, Apoorv Kumar","DST Global, RTP Global",20000000.0,Series A,2021-01-01
Greenjoules,2018.0,Pune,Renewable Energy,Greenjoules is a green energy technology startup that specializes in making renewable biofuels.,"R. Sethunath, V S Shridhar, V. Radhika, Viraraghavan Sankaran",Blue Ashva Capital,4500000.0,Series A,2021-01-01
MentorKart,2018.0,New Delhi,Consulting,MentorKart™ helps to fulfil dreams and take that big step towards success.,"Ashish Khare, SK Mohanty","Amit Singal, Manish Aggarwal",150000.0,Seed,2021-01-01
Leverage Edu,2017.0,New Delhi,EdTech,AI-enabled marketplace designed to help students with their higher education and career growth plans,Akshay Chaturvedi,"Trifecta Capital Advisors, Blume Ventures",2000000.0,Series D,2021-01-01
Kale Logistics,2010.0,Thane,Transport,Kale Logistics Solutions is a global IT solutions provider focused on providing cutting-edge technology solutions to the Logistics industry.,"Amar More, Vipul Jain",Inflexor Ventures,5000000.0,Series A,2021-01-01
CustomerGlu,2016.0,Bengaluru,CRM,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,"Prateek Gupta, Raman Shrivastava, Sumant US","Kumar Aakash, Amit Singhal",320000.0,Series F,2021-01-01
Cell Propulsion,2016.0,Bengaluru,EV startup,Cell Propulsion is a fleet electrification company developing solutions for large scale electrification of commercial vehicle fleets.,"Nakul Kukar, Paras Kaushal",growX ventures,2000000.0,Series D1,2021-01-01
Wellbeing Nutrition,2019.0,Mumbai,HealthCare,Organic whole food nutrition to keep up with the pace at which we live,Avnish Chhabria,Klub,4000000.0,Series A,2021-01-01
Pee Safe,2013.0,Gurugram,HealthCare,Redcliffe Hygiene Private Limited is India's fastest growing hygiene company.,"Dheeraj Jain, Srijana Bagaria, Vikas Bagaria","Shaival Desai, Alkemi Venture Partners",3000000.0,Series E,2021-01-01
Chqbook,2017.0,New Delhi,Finance,"Chqbook is a fintech startup that allows customers to explore, compare, book and get personal finance products.","Mohit Goel, Rajat Kumar, Sachin Arora, Vipul Sharma","Aavishkaar Venture Capital, YWC Venture Capital",1000000.0,Debt Financing,2021-01-01
SimpliContract,2020.0,Bengaluru,Software,"SimpliContract is an Enterprise SaaS offering, focused on end to end Contract Life-cycle Management.","Guru Venkatesan, Jinaraj PG, Makesh Kumar",Kalaari Capital,1800000.0,Seed,2021-01-01
Dropshop,2019.0,Bengaluru,Transport,Building technology to make distribution efficient and cheaper for large and small FMCG companies,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Inflection Point Ventures,1000000.0,Series C,2021-01-01
Jumbotail,2015.0,Bengaluru,E-commerce,Jumbotail is an operator of an online marketplace that simplifies food and grocery shopping.,"Ashish Jhina, Karthik Venkateswaran",Alteria Capital,4000000.0,Private Equity,2021-01-01
BYJU'S,2011.0,Bengaluru,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Tiga Investments, Baron Capital",350000000.0,Series B,2021-01-01
Power Gummies,2018.0,New Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,"Venture Catalysts, 9unicorns",1000000.0,Series C,2021-01-01
Convosight,2019.0,New Delhi,SaaS startup,A mission - to help community builders become community entrepreneurs.,Tarun Dhamija,Qualgro,9000000.0,Series A,2021-01-01
Junio,2020.0,New Delhi,Finance,Junio is a kids-focused digital pocket money-smart card.,Ankit Gera,"Amit Lakhotia, Pravin Jadhav",600000.0,Seed,2021-01-01
Wherehouse.io,2020.0,New Delhi,Transport,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.","Vaibhav Chawla, Jeevan Prakash, Lavelesh Sharma",Better Capital,4000000.0,Seed,2021-01-01
Flexmoney,2015.0,Mumbai,Finance,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Yezdi Lashkari,Pravega Ventures,4800000.0,Series A,2021-01-01
Fampay,2019.0,Bengaluru,Finance,India's first numberless card and UPI without a bank account,"Kush Taneja, Sambhav Jain","Greenoaks Capital, Elevation Capital",38000000.0,Series A,2021-01-01
Apna,2019.0,Bengaluru,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,Nirmit Parikh,"Sequoia Capital India, rocketship.vc",70000000.0,Series B,2021-01-01
XYXX Apparels,2017.0,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",Yogesh Kabra,Sequoia Capital India,4000000.0,Series A,2021-01-01
WaterScience,2014.0,Bengaluru,D2C startup,The aim of making good water affordable and accessible.,Sudeep N,Venture Catalysts,4000000.0,Series F,2021-01-01
BrowserStack,2011.0,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,"Nakul Aggarwal, Ritesh Arora",Accel,200000000.0,Series B,2021-01-01
Vital,2018.0,New Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",Rahul Kumar,BLinC Invest,3000000.0,Series I,2021-01-01
Juicy chemistry,2014.0,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,"Megha, Pritesh Asher",Spring Marketing Capital,4000000.0,Pre-Seed,2021-01-01
Samaaro,2020.0,Bengaluru,SaaS startup,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Ashneer Grover, Shashvat Nakrani","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Series I,2021-01-01
Imagimake,2011.0,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Disha Katharani, Ravi Kumar","Roha Investment Managers, angel investor Saumil Shah",500000.0,Venture - Series Unknown,2021-01-01
MSMEx,2019.0,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"Amit Kumar, Vishal Kumar, Dilip Kumar, Khushboo Arora, Kumar Sambhav","TNF Ventures, Razorpay",1000000.0,Series D1,2021-01-01
RenewBuy,2015.0,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,Kshama Fernandes,"Lok Capital, IIFL Asset Management",45000000.0,Series C,2021-01-01
saarthi.ai,2017.0,Bengaluru,AI startup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,"Piyush Dangaich, Sameer Sinha, Sangram Sabat, Vishwa Nath Jha",Nvidia Inception,4000000.0,Seed,2021-01-01
Kutumb,2020.0,Bengaluru,Community platform,Kutumb is a social community enabler.,"Mohit Sharma, Naveen Dewangan, Vipul Allawadhi","Tiger Global Management, DST Global",26000000.0,Series A,2021-01-01
Superplum,2019.0,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Shobhit Gupta,Marquee investors,3800000.0,Private Equity,2021-01-01
